ident,name,continent,iso_country,iso_region,municipality,gps_code,iata_code,coordinates
BIKF,Keflavik International Airport,EU,IS,IS-2,ReykjavÃƒÂ­k,BIKF,KEF,"-22.6056, 63.985001"
BKPR,PriÃ…Â¡tina International Airport,EU,XK,XK-01,Prishtina,BKPR,PRN,"21.035801, 42.5728"
EBBR,Brussels Airport,EU,BE,BE-BRU,Brussels,EBBR,BRU,"4.48443984985, 50.901401519800004"
EBCI,Brussels South Charleroi Airport,EU,BE,BE-WHT,Brussels,EBCI,CRL,"4.45382, 50.459202"
EBLG,LiÃƒÂ¨ge Airport,EU,BE,BE-WLG,LiÃƒÂ¨ge,EBLG,LGG,"5.443220138549805, 50.63740158081055"
EDDB,Berlin-SchÃƒÂ¶nefeld Airport,EU,DE,DE-BR,Berlin,EDDB,SXF,"13.5225, 52.380001"
EDDC,Dresden Airport,EU,DE,DE-SN,Dresden,EDDC,DRS,"13.767200469970703, 51.1328010559082"
EDDF,Frankfurt am Main Airport,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,"8.570556, 50.033333"
EDDG,MÃƒÂ¼nster OsnabrÃƒÂ¼ck Airport,EU,DE,DE-NW,MÃƒÂ¼nster,EDDG,FMO,"7.68483018875, 52.134601593"
EDDH,Hamburg Airport,EU,DE,DE-HH,Hamburg,EDDH,HAM,"9.9882297515869, 53.630401611328"
EDDK,Cologne Bonn Airport,EU,DE,DE-NW,Cologne,EDDK,CGN,"7.1427397728, 50.8658981323"
EDDL,DÃƒÂ¼sseldorf Airport,EU,DE,DE-NW,DÃƒÂ¼sseldorf,EDDL,DUS,"6.76678, 51.289501"
EDDM,Munich Airport,EU,DE,DE-BY,Munich,EDDM,MUC,"11.7861, 48.353802"
EDDN,Nuremberg Airport,EU,DE,DE-BY,Nuremberg,EDDN,NUE,"11.078056, 49.498699"
EDDP,Leipzig/Halle Airport,EU,DE,DE-SN,Leipzig,EDDP,LEJ,"12.236389, 51.423889"
EDDS,Stuttgart Airport,EU,DE,DE-BW,Stuttgart,EDDS,STR,"9.22196006775, 48.689899444599995"
EDDT,Berlin-Tegel Airport,EU,DE,DE-BE,Berlin,EDDT,TXL,"13.2877, 52.5597"
EDDV,Hannover Airport,EU,DE,DE-NI,Hannover,EDDV,HAJ,"9.685079574580001, 52.461101532"
EDDW,Bremen Airport,EU,DE,DE-HB,Bremen,EDDW,BRE,"8.78666973114, 53.0475006104"
